,Message,Length
6831,ukrainian,9
6832,speak english,13
6833,No other source to paste from bratan?)),39
6834,я даже не с Украины,19
6835,других слов не знаешь?,22
6836,little ukrainians...,20
6837,)),2
6838,Nubik roast bratan,18
6839,Oh noo,6
6840,)))))))),8
6841,ROASTED,7
6842,"радужный, как и твоя ориентация",31
6843,фиолетовый нахуй,16
6844,lets send him some roblox pseudocode and ask him what it is LOL,63
6845,"тебя ебать не должно, хочу и пишу",33
6846,what colour is ur manual map injector nubik?,44
6847,noobik stop type,16
6848,умный челик,11
6849,tupoy nubikk ))),16
6850,what colour is your mmaper,26
6851,what colour is ur manual map injector?,38
6852,докажешь? я тебе говорю что тестировал,38
6853,твой инжектор это сплошное говно пастерское,43
6854,uh no you havent,16
6855,"ты пастер ебучий, скид",22
6856,"блять нахуй ты пастишь, дура",28
6857,я тестировал хук,16
6858,why do you paste it,19
6859,bro english where man,21
6860,калибри говно,13
6861,Yes bro paste calibri any day any day!,38
6862,Pasteing broing right now,25
6863,Broin,5
6864,No broing i paste,17
6865,do you having education,23
6866,n0b,3
6867,tipa external 😂,15
6868,can you understanding english,29
6869,l0l,3
6870,internal бро,12
6871,worse than xeno,15
6872,the unc be strong wit dis one,29
6873,you are on point of an external,31
6874,67 is less than 99,18
6875,Wow,3
6876,LOL.,4
6877,"на данный момент у меня 67%, и я продолжаю делать больше",56
6878,You'll never make it 😫,22
6879,you wanna see it? 😂,19
6880,he maked ghettohax lil bro))),29
6881,most genius russian award,25
6882,"сам то знаешь, или только говорить умеешь? \n\nпокажи чего добился ТЫ, вместо того чтобы пиздеть что мы нихуя не добились",121
6883,my little hohols,16
6884,"интересно, как же я обновился тогда",35
6885,thats why you paste shitsploits like calibri,44
6886,проще простого,14
6887,хахахаахахахах,14
6888,you dont know how to get shuffles nor encryptions,49
6889,"ты так думаешь? \nя уже добился большего чем половина нн челов тут, я уже выебал соляру, мой инжектор уже запускает больше топовых скриптов чем ебучая соляра или ксено,",168
6890,😢 😢 😢,5
6891,youll never make it,19
6892,keep skidding,13
6893,sorry for having life,21
6894,dokazal cvoy nezavisimost,25
6895,долго писал он это однако,25
6896,zakroy tvoy rot pidor,21
6897,you are fan of Zеленский,24
6898,no 😂,4
6899,Putin 🥰 💪,9
6900,ебана что тут происходит,24
6901,joe biden camala harris nobrain,31
6902,"you voted for kamala harris, stupid bitch",41
6903,🐖🇷🇺🐖🇷🇺🐖🇷🇺🐖🇷🇺,12
6904,🐖🇷🇺,3
6905,im not ukrainian tho 😂,22
6906,okaz,4
6907,🇺🇦 🐖 🇺🇦 🐖 🇺🇦 🐖 🇺🇦 🐖,19
6908,🐖🐖🐖 🐖 🇷🇺 🇷🇺🇷🇺 🇷🇺🇷🇺 🇷🇺,21
6909,you are a stupid creature,25
6910,Russians fucked your mother in the ass,38
6911,🐖 🐖 🇷🇺 🇷🇺,9
6912,"you have a little penis in your pants, puppy",44
6913,expected that,13
6914,Iirc calibri is just seli/argon,31
6915,in calibri thing,16
6916,i saw that shit in their src,28
6917,calibri / argon idk,19
6918,I have never met someone retarded enough to write anything even close to that shit,82
6919,Pasted from where?,18
6920,this is so pasted 💔,19
6921,"Real,Monaco isn't hard to theme ☠️ ❌",36
6922,little russian,14
6923,what makes you think that,25
6924,You dumb,8
6925,u can get a way better one free,31
6926,is pasting your hobby,21
6927,ik im trying to scam him,24
6928,doesnt make it worth $5,23
6929,so how is it shit,17
6930,its every other monaco editor,29
6931,^ that shit is not worth it,27
6932,5$ and i will give you my editor,32
6933,whats so confusing..,20
6934,ive never touched the webview thing,35
6935,ts confuseses me,16
6936,The code editor?,16
6937,can someone tell me how to get monaco,37
6938,"I found another library that handles the hook correctly, but it crashes some of the time",88
6939,The library I was using is,26
6940,Does anyone know why a hook on pseudo2addr might not get called most of the time?,81
6941,U talk alot with no purpose,27
6942,for raping david bazuki zazuki niggerzuki,41
6943,What dis for?,13
6944,easy to use and update,22
6945,and u wont have problems,24
6946,paste xeno,10
6947,at this point,13
6948,pro ballistic,13
6949,then you pasted it poorly,25
6950,that absolutely does work,25
6951,"im know, this doesn't work either\n",35
6952,"""scheduler hook"" then its not even a hook",41
6953,holy shit,9
6954,but the result is the same,26
6955,\nI do it through Heartbeat,27
6956,write it yourself,17
6957,dont skid one then,18
6958,they hook once every 10 injections,34
6959,that sucks,10
6960,you can just skid a scheduler hook,34
6961,what is needed for this to work stably,38
6962,Jobs,4
6963,Have you come across a function that has ScriptContext as an argument and gets called preferably every update?,110
6964,You still need help?,20
6965,The problem is that function only gets called when launching a game. Is there a function with Script Context as one of its arguments that gets called all the time?,163
6967,Can someone with IDA on Windows search for this string?\n`Can't initialize the TaskScheduler before flags have been loaded`,123
6968,Alright,7
6969,the sub_10329D10E initializes the scheduler,43
6970,I'm not 100% sure on mac Roblox internals,41
6971,Which could contain the scheduler,33
6972,Also there's a function call in the else clause,47
6973,The unk one,11
6974,"That is also 0, I checked today",31
6975,This addr seems to have a scheduler,35
6976,It worked a month ago,21
6977,I'm not 100% sure abt that,26
6978,But it is 0 for some reason,27
6979,104C0B1E8 is supposed to contain the address to task scheduler,62
6980,why switching to mac os then to windows then back to mac os,59
6981,Alright then,12
6982,It gets FrameTime instead of scheduler on macOS,47
6983,The first one,13
6984,I provided an image of it,25
6985,That sub with no args is getscheduler,37
6986,Ye that's it,12
6987,It's different for me. That function is getting FrameTime offset instead,72
6988,I don't recall job offsets,26
6989,Then the call right above the one with the FrameTime string is getscheduler,75
6990,2nd xref,8
6991,"Search ""FrameTime""",18
6992,switch to windows,17
6993,oh then idk,11
6994,are u trying to find for mac os,31
6995,nigga no,8
6996,gogo decryptor,14
6997,In that same function,21
6998,vulkan dumper,13
6999,noob like,9
7000,how u didnt learn,17
7001,long time ago,13
7002,i saw u doing internal exploit with pixelated,45
7003,are u noob,10
7004,IDA,3
7005,This?,5
7006,`v55 = sub_1032A1C32((__int64)a1);`,35
7007,what u using for dumping roblox,31
7008,`v29 =  / v55;`,15
7009,v48 =  / sub_nigger();,22
7010,should look like this,21
7011,then in pseudocode,18
7012,just get inside of initalthermalstatus,38
7013,I did find a ` /` though,24
7014,ok wait lemme open ida,22
7015,There's two occurences of `initialThermalStatus` and both don't have a `/ 1000` nearby,86
7016,then find some sub with / 1000,30
7017,initialThermalStatus,20
7018,search in strings,17
7019,"How do you find the getTaskScheduler function? I was sure it was not on macOS earlier, but I think it is now",108
7020,so its correctly getting task scheduler i think,47
7021,it gets jobs from task scheduler,32
7022,cuz like,8
7023,copy and paste initalize function from ballistic of task scheduler,66
7024,idk noob,8
7025,"\nscheduler is 0, that's what I mean",36
7026,wait lemme open ballistic,25
7027,no like,7
7028,But that's not the problem,26
7029,"Nothing, JobStart and JobEnd stayed the same",44
7030,what did u update,17
7031,"And yes, all addresses are correct",34
7032,did u change offsets,20
7033,This worked a month ago,23
7034,I get 0 when I try to get the task scheduler,44
7035,then pro lua state,18
7036,why do u need different ways,28
7037,Any other ways to get Lua state?,32
7038,"Well, ballistic also uses the task scheduler to get script context and then Lua state",85
7039,it not uses script context,26
7040,for windows paste ballistic,27
7041,Is the task scheduler on Windows also broken?,45
7042,"I am on macOS, so you don't need to do the decrypted/encrypted states thing like on Windows",91
7043,"You can do getGlobalState(scriptContext, &identity, &script)",60
7044,For the Lua state,17
7045,why do u need script context,28
7046,"I'm trying to get scriptcontext, but the method I was using (taskscheduler) is broken for some reason",101
7047,any *(instance + 8) is instance,31
7048,Is Script Context + 8 also script context?,42
7049,[nigga balls](,14
7050,acces with 2 boosts,19
7051,have u got new offsets?,23
